time,x,y,theta,particle
0.0,76.87377589939182,70.8736212761571,60.59486711612834,0
0.04452359750667854,76.87377589939182,70.8736212761571,60.41911448122438,0
0.08904719501335707,76.87377589939182,70.8736212761571,60.25192753764199,0
0.13357079252003562,77.07890939078445,71.13003814039789,60.327309903217184,0
0.17809439002671415,77.43789300072157,71.69415524172766,55.35351065055414,0
0.22261798753339268,77.95072672920317,72.46340583445006,55.11865176009602,0
0.26714158504007124,78.51484383053293,73.28393980002062,56.42760616340483,0
0.31166518254674974,79.13024430471086,74.10447376559117,60.05215121992735,0
0.3561887800534283,79.54051128749613,74.92500773116173,58.968454441343845,0
0.40071237756010686,80.00206164312957,75.69425832388413,61.04005671565376,0
0.44523597506678536,80.46361199876301,76.51479228945469,61.92900784713939,0
0.4897595725734639,80.92516235439645,77.38660962787341,63.95517844925154,0
0.5342831700801425,81.33542933718172,78.3097103391403,65.1168281163963,0
0.578806767586821,81.74569631996701,79.23281105040716,69.05334108152985,0
0.6233303650934995,82.10467992990412,80.15591176167405,70.7775959138715,0
0.667853962600178,82.36109679414493,81.02772910009277,71.1541032181106,0
0.7123775601068566,82.61751365838573,81.89954643851149,72.31351794756162,0
0.7569011576135352,82.92521389547468,82.72008040408205,76.3520502980281,0
0.8014247551202137,83.13034738686733,83.64318111534892,77.01092427879126,0
0.8459483526268923,83.33548087825997,84.66884857231213,76.66338158776544,0
0.8904719501335707,83.5406143696526,85.64323265642717,79.96569944173193,0
0.9349955476402493,83.64318111534892,86.56633336769404,80.921102470813,0
0.9795191451469278,83.74574786104525,87.48943407896093,81.40665630688953,0
1.0240427426536063,83.89959797958973,88.30996804453149,85.15318036696188,0
1.068566340160285,83.95088135243789,89.28435212864653,86.7212863711222,0
1.1130899376669634,84.00216472528605,90.31001958560972,88.42581426351839,0
1.157613535173642,84.00216472528605,91.28440366972477,89.62467724432268,0
1.2021371326803205,84.00216472528605,92.15622100814349,91.30800616751968,0
1.246660730186999,83.95088135243789,93.0280383465622,91.94355805485728,0
1.2911843276936776,83.89959797958973,93.89985568498092,93.21489306383528,0
1.335707925200356,83.7970312338934,94.87423976909596,95.92557091656856,0
1.3802315227070348,83.64318111534892,95.79734048036285,97.84375771092556,0
1.4247551202137132,83.48933099680445,96.77172456447788,101.39401779597404,0
1.4692787177203916,83.23291413256365,97.69482527574476,103.03893217997467,0
1.5138023152270703,82.97649726832285,98.56664261416348,105.90490170218919,0
1.5583259127337488,82.72008040408205,99.4384599525822,107.14948608785267,0
1.6028495102404274,82.46366353984125,100.36156066384908,110.16703579728814,0
1.6473731077471059,82.10467992990412,101.2333780022678,112.80322625751016,0
1.6918967052537845,81.74569631996701,102.10519534068652,112.66967955538553,0
1.736420302760463,81.33542933718172,103.0282960519534,114.48756426874836,0
1.7809439002671414,80.87387898154829,103.84883001752397,117.38527204010599,0
1.8254674977738201,80.41232862591485,104.66936398309451,119.13128919045018,0
1.8699910952804986,79.9507782702814,105.48989794866507,122.46663306594279,0
1.9145146927871772,79.43794454179981,106.25914854138748,122.13762872171787,0
1.9590382902938557,78.97639418616637,107.02839913410988,123.64448357735567,0
2.0035618878005343,78.46356045768476,107.74636635398411,125.96277839610885,0
2.0480854853072126,77.89944335635501,108.46433357385835,124.99695617086768,0
2.0926090828138912,77.33532625502525,109.1823007937326,126.73296547282897,0
2.13713268032057,76.7712091536955,109.90026801360683,128.60259554432773,0
2.1816562778272486,76.20709205236574,110.61823523348107,129.47137747867717,0
2.226179875333927,75.54040820533965,111.33620245335531,131.04567596144253,0
2.2707034728406055,74.87372435831357,112.05416967322955,134.53561556519904,0
2.315227070347284,74.15575713843933,112.72085352025563,136.29774067673944,0
2.3597506678539624,73.48907329141325,113.2849706215854,135.5800458247134,0
2.404274265360641,72.87367281723533,113.90037109576332,142.05800377184093,0
2.4487978628673197,72.10442222451293,114.46448819709308,141.7080182405162,0
2.493321460373998,71.38645500463869,114.97732192557467,142.86816759999016,0
2.5378450578806766,70.61720441191629,115.54143902690444,145.0408905433056,0
2.5823686553873553,69.84795381919389,116.00298938253788,145.26880547885827,0
2.626892252894034,69.07870322647149,116.51582311101947,151.22076744517295,0
2.671415850400712,68.25816926090093,116.92609009380476,150.61624664980283,0
2.715939447907391,67.48891866817853,117.3876404494382,153.78212273532526,0
2.7604630454140695,66.66838470260798,117.79790743222347,153.74037157066135,0
2.8049866429207477,65.79656736418926,118.1568910421606,154.0690991886746,0
2.8495102404274264,64.9760333986187,118.51587465209772,155.88943829174698,0
2.894033837934105,64.10421606019997,118.87485826203483,157.58018111764412,0
2.9385574354407833,63.23239872178126,119.1825584991238,159.65602032586307,0
2.983081032947462,62.4118647562107,119.43897536336459,162.06553061623387,0
3.0276046304541406,61.488764044943814,119.6953922276054,164.39852159398677,0
3.0721282279608193,60.56566333367694,119.90052571899804,165.74097448950272,0
3.1166518254674975,59.693845995258215,120.10565921039067,169.07092293529595,0
3.161175422974176,58.77074528399134,120.25950932893515,168.03108528515693,0
3.205699020480855,57.7963611998763,120.41335944747964,172.6717824276573,0
3.250222617987533,56.87326048860942,120.4646428203278,172.12513088700138,0
